date|bullish_index|bearish_index|bull_bear_difference|no_bull_tweets|no_bear_tweets
2013-02-22|1.621545|1.594495|0.02705|220|109
2013-02-23|1.523636|1.728|-0.204364|22|20
2013-02-24|1.288837|2.104706|-0.815869|43|17
2013-02-25|1.5435|1.945166|-0.401666|160|151
2013-02-26|1.64992|1.792347|-0.142426|376|277
2013-02-27|1.630477|1.82508|-0.194603|440|311
2013-02-28|1.572018|1.774202|-0.202185|228|188
2013-03-01|1.561559|1.833077|-0.271518|481|455
2013-03-02|1.506038|1.766444|-0.260407|53|45
2013-03-03|1.442857|1.54|-0.097143|63|60
2013-03-04|1.646274|1.754423|-0.108148|671|459
2013-03-05|1.63201|1.69245|-0.06044|622|347
2013-03-06|1.617248|1.837864|-0.220615|447|323
2013-03-07|1.643545|1.693148|-0.049603|440|324
2013-03-08|1.502166|1.74759|-0.245425|314|249
2013-03-09|1.420465|1.4544|-0.033935|43|25
2013-03-10|1.657955|1.705333|-0.047379|44|15
2013-03-11|1.649742|1.738502|-0.088759|427|267
2013-03-12|1.569565|1.785901|-0.216335|414|322
2013-03-13|1.596773|1.786846|-0.190073|375|279
2013-03-14|1.748532|1.762021|-0.013489|402|282
2013-03-15|1.683495|1.677909|0.005586|598|373
2013-03-16|1.612439|1.981111|-0.368672|41|27
2013-03-17|1.600606|1.791064|-0.190458|66|47
2013-03-18|1.664922|1.67173|-0.006808|514|341
2013-03-19|1.702287|1.77552|-0.073233|376|250
2013-03-20|1.651857|1.682767|-0.030911|237|159
2013-03-21|1.697471|1.78933|-0.091859|344|179
2013-03-22|1.712651|1.607064|0.105587|479|218
2013-03-23|1.74561|1.293846|0.451764|41|13
2013-03-24|1.750526|1.8652|-0.114674|57|25
2013-03-25|1.664638|1.756127|-0.091489|304|173
2013-03-26|1.708769|1.618457|0.090312|268|175
2013-03-27|1.572717|1.699498|-0.126781|346|219
2013-03-28|1.590139|1.81226|-0.222122|361|292
2013-03-29|1.935902|1.521579|0.414323|61|38
2013-03-30|1.636875|1.818095|-0.18122|48|42
2013-03-31|1.724314|1.572703|0.151611|51|37
2013-04-01|1.562974|1.794982|-0.232008|380|279
2013-04-02|1.552189|1.70159|-0.149402|498|415
2013-04-03|1.560372|1.807647|-0.247275|269|204
2013-04-04|1.573604|1.708492|-0.134888|333|305
2013-04-05|1.552074|1.753242|-0.201168|405|327
2013-04-06|1.560606|1.884412|-0.323806|66|34
2013-04-07|1.597966|1.69359|-0.095624|59|39
2013-04-08|1.543792|1.681369|-0.137577|298|168
2013-04-09|1.645486|1.762485|-0.116998|257|165
2013-04-10|1.765362|1.586605|0.178757|304|162
2013-04-11|1.647302|1.658367|-0.011066|189|147
2013-04-12|1.414225|1.793556|-0.37933|71|45
2013-04-13|1.708182|1.396667|0.311515|11|6
2013-04-14|1.6|2.0388|-0.4388|28|25
2013-04-15|1.425099|1.758549|-0.33345|202|193
